person_id,year,log_wage,experience,education,tenure
1,1980,1.8952,2,12,0.5
1,1981,1.9459,3,12,1.5
1,1982,2.0015,4,12,2.5
1,1983,2.0541,5,12,3.5
1,1984,2.1072,6,12,4.5
1,1985,2.1589,7,12,5.5
1,1986,2.2134,8,12,6.5
2,1980,2.4023,4,16,1.0
2,1981,2.4512,5,16,2.0
2,1982,2.5089,6,16,3.0
2,1983,2.5623,7,16,4.0
2,1984,2.6187,8,16,5.0
2,1985,2.6734,9,16,6.0
2,1986,2.7289,10,16,7.0
3,1980,1.6094,0,10,0.0
3,1981,1.6487,1,10,1.0
3,1982,1.6912,2,10,2.0
3,1983,1.7405,3,10,3.0
3,1984,1.7918,4,10,4.0
3,1985,1.8421,5,10,5.0
3,1986,1.8934,6,10,6.0
4,1980,2.1972,5,14,2.0
4,1981,2.2512,6,14,3.0
4,1982,2.3026,7,14,4.0
4,1983,2.3561,8,14,5.0
4,1984,2.4089,9,14,6.0
4,1985,2.4623,10,14,7.0
4,1986,2.5178,11,14,8.0
5,1980,2.3026,8,16,3.0
5,1981,2.3514,9,16,4.0
5,1982,2.4012,10,16,5.0
5,1983,2.4536,11,16,6.0
5,1984,2.5067,12,16,7.0
5,1985,2.5589,13,16,8.0
5,1986,2.6124,14,16,9.0
6,1980,1.7918,1,11,0.5
6,1981,1.8421,2,11,1.5
6,1982,1.8912,3,11,2.5
6,1983,1.9459,4,11,3.5
6,1984,1.9969,5,11,4.5
6,1985,2.0494,6,11,5.5
6,1986,2.1023,7,11,6.5
7,1980,2.4849,10,18,5.0
7,1981,2.5378,11,18,6.0
7,1982,2.5912,12,18,7.0
7,1983,2.6451,13,18,8.0
7,1984,2.6978,14,18,9.0
7,1985,2.7512,15,18,10.0
7,1986,2.8056,16,18,11.0
8,1980,1.9459,3,12,1.0
8,1981,1.9969,4,12,2.0
8,1982,2.0541,5,12,3.0
8,1983,2.1072,6,12,4.0
8,1984,2.1589,7,12,5.0
8,1985,2.2119,8,12,6.0
8,1986,2.2662,9,12,7.0
9,1980,2.1972,6,15,2.5
9,1981,2.2512,7,15,3.5
9,1982,2.3067,8,15,4.5
9,1983,2.3601,9,15,5.5
9,1984,2.4134,10,15,6.5
9,1985,2.4673,11,15,7.5
9,1986,2.5218,12,15,8.5
10,1980,1.8326,2,11,0.5
10,1981,1.8821,3,11,1.5
10,1982,1.9315,4,11,2.5
10,1983,1.9845,5,11,3.5
10,1984,2.0367,6,11,4.5
10,1985,2.0892,7,11,5.5
10,1986,2.1423,8,11,6.5
