"model_name","variable","coefficient","std_error","t_statistic","p_value","r_squared","n_obs","n_groups"
"first_difference","(Intercept)",-1.57625382564492,3.30339254469871,-0.477162130844697,0.63380385588995,0.445989870242391,200,10
"first_difference","value",0.0897805494828678,0.00812954088755685,11.0437416730737,3.75486712903945e-22,0.445989870242391,200,10
"first_difference","capital",0.357726754139538,0.0536927079229076,6.66248300706243,2.92401202535399e-10,0.445989870242391,200,10
"first_difference_robust","(Intercept)",-1.57625382564492,1.35385500089709,-1.16427078571964,0.245797519302603,0.445989870242391,200,10
"first_difference_robust","value",0.0897805494828678,0.0134162582451236,6.69192168505704,2.48643344287737e-10,0.445989870242391,200,10
"first_difference_robust","capital",0.357726754139538,0.0833146674121237,4.29368279621174,2.81917948995832e-05,0.445989870242391,200,10
"between","(Intercept)",28.9213813353224,30.3404138074987,0.953229626953025,0.37222187163465,0.914612956822883,200,10
"between","value",0.312314323205298,0.0802137283316163,3.89352707698788,0.00594828255895046,0.914612956822883,200,10
"between","capital",-1.19331847605135,0.533645428902147,-2.2361635861968,0.0604188967483599,0.914612956822883,200,10
"iv_pooled","(Intercept)",-12.509464360545,9.28209340704966,-1.34769860762704,0.179385814752794,NA,200,10
"iv_pooled","capital",0.285384193970819,0.0356265944452024,8.01042587468672,1.19126139594867e-13,NA,200,10
"iv_pooled","value",0.0982460056716613,0.00816833565966326,12.0276650917785,4.72598260635344e-25,NA,200,10
"iv_fe","capital",0.281441422730295,0.0387987497314002,7.25387866048997,1.19933873952752e-11,NA,200,10
"iv_fe","value",0.254408050530526,0.0648509186012494,3.92296756958543,0.00012476318874413,NA,200,10
"iv_re","(Intercept)",-53.8337730652507,24.4236544866604,-2.20416535513362,0.0287332226779791,NA,200,10
"iv_re","capital",0.329183070545101,0.0218782820917111,15.0461114435405,4.81163081109949e-34,NA,200,10
"iv_re","value",0.128224770550189,0.0174466900942412,7.3495184391745,6.00588420482763e-12,NA,200,10
